638,284
484,156
624,309
762,127
516,89
33,291
937,548
825,531
775,595
981,982
75,149
223,82
109,524
629,551
562,453
707,300
729,832
714,419
142,224
146,696
602,696
296,410
493,793
903,39
380,463
362,134
162,872
147,189
406,559
254,178
143,35
794,85
570,221
368,106
323,153
514,468
956,480
586,987
989,94
881,817
558,468
329,235
49,263
852,982
550,313
259,951
671,879
784,251
843,284
312,663
292,319
308,49
776,796
29,57
19,432
108,939
480,110
937,545
463,459
66,50
903,360
895,959
324,255
662,76
480,676
591,149
64,629
973,525
865,167
649,283
699,91
792,558
55,67
97,696
822,925
885,117
503,323
490,270
938,860
734,255
966,701
474,961
228,831
388,803
863,943
858,5
144,933
868,781
183,800
245,574
995,8
672,494
841,837
689,231
760,383
668,243
457,835
201,264
337,3
395,220
382,419
50,330
783,335
876,889
900,371
643,790
817,350
850,760
925,800
233,846
498,735
531,145
968,163
893,381
513,672
452,467
167,103
200,4
944,857
960,360
962,111
537,421
23,128
899,69
685,616
174,686
810,861
164,346
221,620
620,754
501,579
579,388
77,893
928,833
516,34
424,311
547,152
262,350
313,359
541,607
11,967
158,147
365,977
399,482
553,420
47,863
392,732
985,453
905,167
693,342
746,333
363,118
228,338
884,207
724,300
41,517
905,529
497,366
585,971
737,378
261,296
969,337
428,125
680,46
671,317
603,579
261,412
978,702
814,152
659,825
542,500
18,689
118,709
359,90
457,31
208,446
380,267
774,221
293,764
772,689
434,833
144,692
414,507
667,766
438,209
574,67
748,456
199,656
129,558
86,619
738,388
551,870
990,337
426,63
240,374
895,546
367,489
71,626
222,779
607,854
61,73
886,786
732,336
26,48
829,700
355,326
129,11
10,127
933,191
310,172
308,591
620,748
283,743
31,342
101,975
240,561
275,432
655,275
419,103
415,327
470,515
656,822
125,595
991,618
388,891
233,117
786,668
447,273
826,324
775,409
484,657
500,73
496,184
339,157
167,865
847,553
61,840
403,242
809,608
204,793
890,936
123,454
832,767
416,538
515,997
105,234
272,819
914,730
478,140
454,245
669,676
457,152
134,853
548,945
571,333
97,215
718,73
489,399
918,272
571,401
709,581
485,323
927,710
743,913
787,526
292,196
0,574
661,926
93,397
659,112
416,63
501,697
224,932
347,781
897,586
391,136
855,491
560,382
963,702
974,220
265,279
466,68
637,300
955,569
172,799
590,22
21,563
549,368
509,610
589,56
486,759
705,13
876,364
328,358
146,100
103,980
34,952
275,663
102,973
478,712
194,852
904,690
602,720
759,746
172,402
353,968
167,612
432,968
67,664
340,407
18,425
475,241
406,688
308,285
511,374
479,29
969,727
365,388
95,693
891,335
729,564
663,886
937,252
43,290
826,256
3,610
618,711
362,309
551,738
900,595
740,497
176,806
146,887
559,194
364,27
214,180
337,740
446,977
695,378
893,17
106,244
361,832
740,631
961,62
762,761
839,108
15,135
871,639
78,355
340,518
201,146
756,898
343,239
172,208
366,446
127,544
409,882
326,608
619,209
797,323
416,489
18,138
422,319
840,742
980,690
853,677
964,962
751,722
118,866
788,791
871,780
57,470
109,706
688,30
41,388
322,745
169,249
768,59
64,542
506,527
97,699
422,448
584,421
789,561
751,645
375,562
529,524
431,310
269,731
807,852
433,588
259,854
165,519
371,843
204,856
972,199
6,140
503,127
112,220
115,310
516,389
128,54
967,947
714,678
205,16
826,376
189,218
167,301
587,359
365,8
41,460
112,919
834,749
797,587
362,366
253,858
218,162
485,579
434,345
862,989
576,796
955,179
675,970
933,237
416,39
21,517
156,464
998,317
992,507
433,745
527,838
115,46
575,786
467,537
844,113
449,520
233,748
345,830
412,361
21,223
773,857
161,701
621,23
600,41
354,967
132,495
732,912
586,845
185,969
190,652
1000,913
801,313
529,127
725,28
770,693
223,127
525,249
691,49
489,555
431,532
713,48
62,32
50,639
438,646
731,147
798,518
409,840
322,71
484,485
290,229
48,259
975,963
30,97
8,721
386,953
103,222
104,616
706,242
287,131
460,184
256,768
819,988
322,769
884,219
726,754
886,157
401,121
22,452
121,599
722,982
526,710
936,594
465,4
644,562
176,23
288,239
497,80
865,187
524,947
919,981
67,978
388,550
791,400
882,287
283,227
437,782
881,477
321,596
675,232
370,595
981,762
840,783
794,526
754,766
812,319
759,636
162,369
820,317
591,980
13,860
168,632
266,291
132,974
643,475
975,369
9,373
675,840
